technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
Lithium-Ion-LFP-store,,,,0.0,,0.0447,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,281086.7853,16.0,,,,,,,,,,,,,,,,,0.0,29880.83169181853
Lithium-Ion-NMC-bicharger,,,,0.0,,2.095,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9193,,,,,,,,,0.0,,,,,,88568.8382,13.0,,,,,,,,,,,,,,,,,0.0,12452.853769362935
Lithium-Ion-NMC-store,,,,0.0,,0.0379,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,320844.4187,13.0,,,,,,,,,,,,,,,,,0.0,38510.90685192672
LowT-Molten-Salt-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,146783.3911,35.0,,,,,,,,,,,,,,,,,0.0,12914.58395968626
LowT-Molten-Salt-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.5394,,,,,,,,,0.0,,,,,,587133.5642,35.0,,,,,,,,,,,,,,,,,0.0,46924.865026567844
LowT-Molten-Salt-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,63731.5141,35.0,,,,,,,,,,,,,,,,,0.0,5133.061037012081
MeOH transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,35000000.0,15.0,,,,,,,,,,,,,,,,,0.0,5592811.8645352265
Methanol steam reforming,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,18016.8665,20.0,,,1.201,,,,,,,,,,,,,,0.0,2421.3394016606508
NH3 (l) storage tank incl. liquefaction,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,166.8201,20.0,,,,,,,,,,,,,,,,,0.0,19.083039311782485
NH3 (l) transport ship,,,,0.0,,4.0,,,0.0,,,,53000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,81164200.0,20.0,,,,,,,,,,,,,,,,,0.0,10907894.303610751
Ni-Zn-bicharger,,,,0.0,,2.095,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,88568.8382,15.0,,,,,,,,,,,,,,,,,0.0,11579.899510663166
Ni-Zn-store,,,,0.0,,0.225,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,306333.1401,15.0,,,,,,,,,,,,,,,,,0.0,34322.98171598534
OCGT,,,,0.198,,1.7784,,,4.762,,,,,,,,,,,,,,0.07,,,,0.405,,,,,,,,,24.568,,,,,,470485.3,25.0,,,,,,,,,,,,,,,,,65.42372839506173,48739.697512920015
PEM electrolyzer small size,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,1222714.5,6.5,,,,,,,,,,,,,,,,,0.0,277222.65143157693
PHS,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.75,,,,,,,,,0.0,,,,,,2274817.7,80.0,,,,,,,,,,,,,,,,,0.0,182698.73459185107
Pumped-Heat-charger,,,,0.0,,0.366,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,784485.9619,33.0,,,,,,,,,,,,,,,,,0.0,64381.245120040345
Pumped-Heat-discharger,,,,0.0,,0.5212,,,0.0,,,,,,,,,,,,,,0.07,,,,0.63,,,,,,,,,0.0,,,,,,550809.2924,33.0,,,,,,,,,,,,,,,,,0.0,46058.708978603485
Pumped-Heat-store,,,,0.0,,0.1071,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,21420.3118,33.0,,,,,,,,,,,,,,,,,0.0,1702.4663595312338
Pumped-Storage-Hydro-bicharger,,,,0.0,,0.9951,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8944,,,,,,,,,0.0,,,,,,1397128.4612,60.0,,,,,,,,,,,,,,,,,0.0,113419.20353271118
Pumped-Storage-Hydro-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,57074.0625,60.0,,,,,,,,,,,,,,,,,0.0,4310.759736764704
SMR,,,,0.0,,5.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.76,,,,,,,,,0.0,,,,,,522201.0492,30.0,,,,,,,,,,,,,,,,,0.0,68192.35692475682
SMR CC,,,,0.0,,5.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,0.69,,,,,,,,,0.0,,,,,,605753.2171,30.0,,,,,,,,,,,,,,,,,0.0,79103.13403637432
SOEC,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.205,,0.0,,,,,,2301391.5,30.0,,,,,,,,,,,,,,,,,0.0,277516.52405604144
Sand-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,148408.4164,35.0,,,,,,,,,,,,,,,,,0.0,13057.560120110067
Sand-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.53,,,,,,,,,0.0,,,,,,593633.6658,35.0,,,,,,,,,,,,,,,,,0.0,47444.36588435747
Sand-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,7357.7979,35.0,,,,,,,,,,,,,,,,,0.0,592.6114615673207
Steam methane reforming,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,497454.611,30.0,,1.483,,,,,,,,,,,,,,,0.0,55011.71634050884
"Tank&bulk, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.462,,,,,,,,,0.0,,,,,,35129312.4041,25.0,,,,,,,,,,,,,,,,,0.0,3014464.4670021646
"Tank&bulk, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4695,,,,,,,,,0.0,,,,,,38642243.6445,25.0,,,,,,,,,,,,,,,,,0.0,3315910.913701523
"Tankbulk, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.471,,,,,,,,,0.0,,,,,,42155174.885,25.0,,,,,,,,,,,,,,,,,0.0,3617357.3604094624
Vanadium-Redox-Flow-bicharger,,,,0.0,,2.4212,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8062,,,,,,,,,0.0,,,,,,139486.6307,12.0,,,,,,,,,,,,,,,,,0.0,20938.894498426824
Vanadium-Redox-Flow-store,,,,0.0,,0.234,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,287843.5219,12.0,,,,,,,,,,,,,,,,,0.0,36913.625669920926
Zn-Air-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7937,,,,,,,,,0.0,,,,,,129023.0526,25.0,,,,,,,,,,,,,,,,,0.0,14219.052245172143
Zn-Air-store,,,,0.0,,0.1773,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,184643.5101,25.0,,,,,,,,,,,,,,,,,0.0,16171.728046527493
Zn-Br-Flow-bicharger,,,,0.0,,2.2974,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8307,,,,,,,,,0.0,,,,,,107925.4668,10.0,,,,,,,,,,,,,,,,,0.0,17845.638117932303
Zn-Br-Flow-store,,,,0.0,,0.2713,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,444465.2527,10.0,,,,,,,,,,,,,,,,,0.0,64487.68695908817
Zn-Br-Nonflow-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8888,,,,,,,,,0.0,,,,,,129023.0526,15.0,,,,,,,,,,,,,,,,,0.0,17313.555006172217
Zn-Br-Nonflow-store,,,,0.0,,0.2362,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,258047.096,15.0,,,,,,,,,,,,,,,,,0.0,28941.69130125659
air separation unit,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.25,,0.0,,,,,,912034.4091,30.0,,,,,,,,,,,,,,,,,0.0,100858.60518075046
allam,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,0.0,,,,,,1500000.0,30.0,,,,,,,,,,,,,,,,,2.0,120879.60526666677
ammonia carbon capture retrofit,,,,0.0,,5.0,,,0.0,,,,,,0.99,,,,,,,,0.07,,,,1.0,,,,,,,0.1,,0.0,,,,,,929753.03,20.0,,,,,,,,,,,,,,,,,0.0,134249.76022035698
battery inverter,,,,0.0,,0.2512,,,0.0,,,,,,,,,,,,,,0.07,,,,0.955,,,,,,,,,0.0,,,,,,228631.0,10.0,,,,,,,,,,,,,,,,,0.0,33126.231898060105
battery storage,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,198855.8,22.5,,,,,,,,,,,,,,,,,0.0,17805.062351729594
biochar pyrolysis,,,,0.0,,3.4615,,,823.497,,,,,,,,,,,,,,0.07,,,,1.0,0.404,,,0.4848,,,,,0.0,,,,,,167272820.0,25.0,,,,,,,,,,,,,,,,0.0582,823.497,20143915.865459297
biodiesel crops,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,116.9293,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,116.9293,0.0
bioethanol crops,,,,0.1289,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,72.2943,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,72.2943,0.0
biogas,,,,0.0,0.1447,7.7769,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,62.4351,,,,,,1097915.5,20.0,,,,,,,,,,,,,,,,,62.4351,189019.24678336942
biogas CC,,,,0.0,0.1447,7.7769,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1097915.5,20.0,,,,,,,,,,,,,,,,,0.0,189019.24678336942
biogas manure,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,19.8126,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,19.8126,0.0
biogas plus hydrogen,,,,0.0,,4.0,,,4.2111,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,884323.4,25.0,,,,,,,,,,,,,,,,,4.2111,111257.18434433757
biogas upgrading,,,,0.0,,17.0397,,,4.4251,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,205203.9,20.0,,,,,,,,,,,,,,,,,4.4251,54335.92544322646
biomass,,,,0.0,,4.5269,,,0.0,,,,,,,,,,,,,,0.07,,,,0.468,,,,,,,,,7.4076,,,,,,2337611.6,30.0,,,,,,,,,,,,,,,,,15.828205128205129,294201.05117025424
biomass CHP,,,,0.0,,3.5955,,,2.2255,,0.4554,1.0,,,,,,,,,,,0.07,,,,0.2998,,,,0.7088,,,,,0.0,,,,,,3487660.5,25.0,,,,,,,,,,,,,,,,,2.2255,424676.7846725852
biomass CHP capture,,,,0.0,,3.0,,,0.0,,,,,,0.9,,,,,,0.1,0.16,0.07,,,,1.0,,,,,,,0.03,,0.0,,,0.833,0.833,,3000000.0,25.0,,,,,,,,,,,,,,,,,0.0,347431.5516619968
biomass EOP,,,,0.0,,3.5955,,,2.2255,,0.4554,1.0,,,,,,,,,,,0.07,,,,0.2998,,,,0.7088,,,,,0.0,,,,,,3487660.5,25.0,,,,,,,,,,,,,,,,,2.2255,424676.7846725852
biomass HOP,,,,0.0,,5.7785,,,2.5909,,,,,,,,,,,,,,0.07,,,,1.0323,,,,,,,,,0.0,,,,,,903747.7,25.0,,,,,,,,,,,,,,,,,2.5909,129774.11841848692
biomass boiler,,,,0.0,,7.434,,,0.0,,,,,,,,,,,,,,0.07,,,,0.84,,,,,,,,,0.0,,,,,,704761.0,20.0,,,,,,,,,,9.0,,,,,,,0.0,118916.3854797426
biomass-to-methanol,,0.4028,0.5972,0.0,0.219,1.1905,,,18.0816,,,,,0.9,,,,,,,,,0.07,,,,0.595,,,0.02,0.22,,,,,0.0,,,,,,4348860.800000001,20.0,,,,,,,,,,,,,,,,,18.0816,462274.8823861555
blast furnace-basic oxygen furnace,,,,0.0,,14.18,,,0.0,,,,,,,,,,5.34,,,,0.07,,,20.0,1.0,,,,,,,,,0.0,,,,,,7637406.0,40.0,,,,,,,,1.539,,,0.051,,,,,,0.0,1655859.4180881446
cement capture,,,,0.0,,3.0,,,0.0,,,,,,0.9,,,,,,0.1,0.16,0.07,,,,1.0,,,,,,,0.025,,0.0,,,0.833,1.65,,2800000.0,25.0,,,,,,,,,,,,,,,,,0.0,324269.4482178637
cement carbon capture retrofit,,,,0.0,,7.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,1.0,,,,,,,0.16,,0.0,0.76,,,,,2587727.173,20.0,,,,,,,,,,,,,,,,,0.0,425404.04099479393
cement dry clinker,,,,0.0,,4.0,,,5.2911,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.0694,,0.0,0.0002,,0.9444,,,1158752.6816,30.0,,,,,,,,,,,,,,,,,5.2911,139729.81843299975
cement finishing,,,,0.0,,30.0,,,3.1747,,,,,,,,,0.656,,,,,0.07,,,,1.0,,,,,,,0.1736,,0.0,,,,,,92700.2145,25.0,,,,,,,,,,,,0.194,,,,,3.1747,35764.71770271165
central air-sourced heat pump,,,,0.0,,0.2102,,,2.3175,,,,,,,,,,,,,,0.07,,,,3.15,,,,,,,,,0.0,,,,,,1006776.5,25.0,,,,,,,,,,,,,,,,,2.3175,88508.25639361145
central coal CHP,,,,0.0,,1.6316,,,3.0369,,0.925,0.15,,,,,,,,,,,0.07,,,,0.5025,,,,,,,,,0.0,,,,,,1989708.0,25.0,,,,,,,,,,,,,,,,,3.0369,203201.9483260961
central excess-heat-sourced heat pump,,,,0.0,,0.3003,,,1.7884,,,,,,,,,,,,,,0.07,,,,5.2,,,,,,,,,0.0,,,,,,704743.5,25.0,,,,,,,,,,,,,,,,,1.7884,62590.74897340215
central gas CHP,,,,0.0,,3.313,,,4.5504,,0.98,0.17,,,,,,,,,,,0.07,,,,0.405,,,,,,,,,0.0,,,,,,608477.4,25.0,,,,,,,,,1.0,,,,,,,,4.5504,72372.61667308582
central gas CHP CC,,,,0.0,,3.313,,,4.5504,,0.98,,,,,,,,,,,,0.07,,,,0.405,,,,,,,,,0.0,,,,,,608477.4,25.0,,,,,,,,,,,,,,,,,4.5504,72372.61667308582
central gas boiler,,,,0.0,,3.5,,,1.1111,,,,,,,,,,,,,,0.07,,,,1.035,,,,,,,,,0.0,,,,,,58202.2,25.0,,,,,,,,,,,,,,,,,1.1111,7031.437885380623
central geothermal heat source,,,,0.0,,0.8422,,,4.7812,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2915219.0,25.0,,,,,,,,,,,,,,,,,4.7812,274708.4246195115
central ground-sourced heat pump,,,,0.0,,0.3733,,,1.183,,,,,,,,,,,,,,0.07,,,,1.72,,,,,,,,,0.0,,,,,,566995.1,25.0,,,,,,,,,,,,,,,,,1.183,50770.73550088301
central hydrogen CHP,,,,0.0,,5.0,,,0.0,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,0.0,,,,,,1269866.0,10.0,,,,,,,,,,,,,,,,,0.0,244293.64987838763
central resistive heater,,,,0.0,,1.6077,,,1.0053,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,68784.40000000001,20.0,,,,,,,,,,,,,,,,,1.0053,7598.607560294396
central solar thermal,,,,0.0,,1.4,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,148151.0278,20.0,,,,,,,,,,,,,,,,,0.0,16058.523355112407
central solid biomass CHP,,,,0.0,,2.8762,,,4.8603,,0.3498,1.0,,,,,,,,,,,0.07,,,,0.2694,,,,0.825,,,,,0.0,,,,,,3642470.2,25.0,,,,,,,,,1.0,,,,,,,,4.8603,417326.97971526126
central solid biomass CHP CC,,,,0.0,,2.8762,,,4.8603,,0.3498,1.0,,,,,,,,,,,0.07,,,,0.2694,,,,0.825,,,,,0.0,,,,,,5617782.3,25.0,,,,,,,,,,,,,,,,,4.8603,643643.4593087004
central solid biomass CHP powerboost CC,,,,0.0,,2.8762,,,4.8603,,0.3498,1.0,,,,,,,,,,,0.07,,,,0.2694,,,,0.825,,,,,0.0,,,,,,3642470.2,25.0,,,,,,,,,,,,,,,,,4.8603,417326.97971526126
central water pit charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
central water pit discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
central water pit storage,35.0,,,0.0,,0.2354,,90.0,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,150.0,0.0,,,,,,1062.2,30.0,,,,,,,,,,,,,0.0078,,,,0.0,88.09929660950229
central water tank charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
central water tank discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
central water tank storage,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,60.3448,0.0,,,,,,3036.1,40.0,,,,,,,,,,,,,0.0077,55.0,,,0.0,258.09624653416824
clean water tank storage,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,69.1286,30.0,,,,,,,,,,,,,,,,,0.0,6.953397253758201
coal,,,,0.3361,,1.31,,,3.2612,,,,,,,,,,,,,,0.07,,,,0.356,,,,,,,,,9.5542,,,,,,3827162.9,40.0,,,,,,,,,,,,,,,,,30.098840449438203,337208.02744802914
csp-tower,,,,0.0,,1.05,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,134165.0,30.0,,,,,,,,,,,,,,,,,0.0,12220.607327068232
csp-tower TES,,,,0.0,,1.05,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,17975.0,30.0,,,,,,,,,,,,,,,,,0.0,1637.2781031122233
csp-tower power block,,,,0.0,,1.05,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,939870.0,30.0,,,,,,,,,,,,,,,,,0.0,85609.37806798806
decentral CHP,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,1481510.2999999998,25.0,,,,,,,,,,,,,,,,,0.0,139279.69119134915
decentral air-sourced heat pump,,,,0.0,,2.9785,,,0.0,,,,,,,,,,,,,,0.04,,,,3.5,,,,,,,,,0.0,,,,,,947108.3999999999,18.0,,,,,,,,,,,,,,,,,0.0,103024.86832342524
decentral gas boiler,,,,0.0,,6.6243,,,0.0,,,,,,,,,,,,,,0.04,,,,0.975,,,,,,,,,0.0,,,,,,322176.5,20.0,,,,,,,,,,,,,,,,,0.0,45048.24867425149
decentral gas boiler connection,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,201360.3,50.0,,,,,,,,,,,,,,,,,0.0,14590.537041250262
decentral ground-sourced heat pump,,,,0.0,,1.8384,,,0.0,,,,,,,,,,,,,,0.04,,,,3.85,,,,,,,,,0.0,,,,,,1534421.4,20.0,,,,,,,,,,,,,,,,,0.0,141114.21537130512
decentral oil boiler,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,165097.5,20.0,,,,,,,,,,,,,,,,,0.0,18885.986057897153
decentral resistive heater,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.04,,,,0.9,,,,,,,,,0.0,,,,,,105822.2,20.0,,,,,,,,,,,,,,,,,0.0,9903.026699626227
decentral solar thermal,,,,0.0,,1.3,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,285719.8393,20.0,,,,,,,,,,,,,,,,,0.0,24738.123790208556
decentral water tank charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
decentral water tank discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
decentral water tank storage,,,,0.0,,1.0,,,0.8704,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,0.15,0.0,,,,,,419862.19999999995,30.0,,,,,,,,,,,,,2.1,30.0,,,0.8704,28479.294648477127
digestible biomass,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,17.0611,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,17.0611,0.0
digestible biomass to hydrogen,,,,0.0,,4.25,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,0.39,,,,,,,,,0.0,,,,,,3972299.4,25.0,,,,,,,,,,,,,,,,,0.0,509687.79056933965
direct air capture,,,,0.0,,4.95,,,0.0,,,,,,,,,,,,0.15,0.2,0.07,,,,1.0,,,,,,,0.4,,0.0,,,1.6,1.25,,7000000.0,20.0,,,,,,,,,,,,,,,,,0.0,1007250.4802027898
direct firing gas,,,,0.0,,1.197,,,0.282,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,15105.0,15.0,,,,,,,,,,,,,,,,,0.282,1839.254656108703
direct firing gas CC,,,,0.0,,1.197,,,0.282,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,15105.0,15.0,,,,,,,,,,,,,,,,,0.282,1839.254656108703
direct firing solid fuels,,,,0.0,,1.5227,,,0.3301,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,221540.0,15.0,,,,,,,,,,,,,,,,,0.3301,27697.290736260973
direct firing solid fuels CC,,,,0.0,,1.5227,,,0.3301,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,221540.0,15.0,,,,,,,,,,,,,,,,,0.3301,27697.290736260973
dry bulk carrier Capesize,,,,0.0,,4.0,,,0.0,,,,180000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,40000000.0,25.0,,,,,,,,,,,,,,,,,0.0,5032420.688826624
electric arc furnace,,,,0.0,,30.0,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,0.6395,,0.0,,1.0,,,,1839600.0,40.0,,,,,,,,,,,,,,,,,0.0,689866.8118718936
electric arc furnace with hbi and scrap,,,,0.0,,30.0,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,0.6395,,0.0,,0.37,,,,1839600.0,40.0,,,,,,,,,,,0.71,,,,,,0.0,689866.8118718936
electric boiler steam,,,,0.0,,1.3933,,,0.8761,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,75525.0,25.0,,,,,,,,,,,,,,,,,0.8761,7533.12913809077
electric steam cracker,,,,0.0,,3.0,,,190.4799,,,,,,,,0.55,,,,,,0.07,,,,1.0,,,,,,,2.7,,0.0,,,,,,11124025.7434,30.0,,,,,14.8,,,,,,,,,,,,190.4799,1230165.9995276209
electricity distribution grid,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,529110.8,40.0,,,,,,,,,,,,,,,,,0.0,50270.361476727056
electricity grid connection,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,148151.0,40.0,,,,,,,,,,,,,,,,,0.0,14075.698933264242
electrobiofuels,,0.9257,,0.0,,2.5263,,,4.6849,,,,,0.9,,,,,,,,,0.07,,,,1.0,,1.32,,,1.1951,0.6272,,,0.0,,,,,,512440263.09999996,25.0,,,,,,,,,,,,,,,,,4.6849,56918542.38800026
electrolysis,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.5874,,,,0.264,,,,,0.0,,,,,,1800000.0,25.0,,,,,,,,,,,,,,,,,0.0,226458.9309971981
electrolysis small,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.5874,,,,0.264,,,,,0.0,,,,,,1400000.0,25.0,,,,,,,,,,,,,,,,,0.0,176134.72410893184
ethanol carbon capture retrofit,,,,0.0,,7.0,,,0.0,,,,,,0.94,,,,,,,,0.07,,,,1.0,,,,,,,0.12,,0.0,,,,,,928559.735,20.0,,,,,,,,,,,,,,,,,0.0,152648.65156403216
ethanol from starch crop,,,,0.0,,15.2,,,26.3497,,,,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,0.0,,,,,,650509.9986,20.0,,,,,,,,,,,,,,,,,26.3497,160281.06178029516
ethanol from sugar crops,,,,0.0,,18.09,,,23.1751,,,,,,,,,,,,,,0.07,,,,0.45,,,,,,,,,0.0,,,,,,481416.7648,20.0,,,,,,,,,,,,,,,,,23.1751,132530.6296836448
fuel cell,,,,0.0,,5.0,,,0.0,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,0.0,,,,,,1269866.0,10.0,,,,,,,,,,,,,,,,,0.0,244293.64987838763
fuelwood,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,15.261,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,15.261,0.0
gas,,,,0.198,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,24.568,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,24.568,0.0
gas boiler steam,,,,0.0,,3.9,,,1.0574,,,,,,,,,,,,,,0.07,,,,0.925,,,,,,,,,0.0,,,,,,50350.0,25.0,,,,,,,,,,,,,,,,,1.0574,6284.209542060514
